Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,244,Neubauer,Leonhard,Dr.,1959,Kulturmanager,6380,St. Johann,7,7C
NEOS,245,Neumayer,Hubert,\N,1957,Unternehmer,5020,Salzburg,5,5A
NEOS,246,Neureiter,Martin,Mag.,1961,Unternehmensberater,2700,Wiener Neustadt,3,3E
NEOS,247,Niedermoser,Jakob,\N,1995,Student,6020,Innsbruck,7,7A
NEOS,248,Nolden,Marion,Dr.,1965,Ärztin,2630,Ternitz,3,3E
NEOS,249,Nußbaummüller,Stefan,Dipl.-Ing.,1988,Technologie-Strategieberater,4322,Windhaag bei Perg,4,4E
NEOS,250,Oberhammer,Maximilian,\N,1996,Schüler,1230,Wien,9,9E
NEOS,251,Oberndorfer,Georg,Dipl.-Ing.,1974,Leitender Angestellter,6800,Feldkirch,8,8B
NEOS,252,Oismüller,Gerd,\N,1978,Angestellter,4060,Leonding,4,4A
NEOS,253,Olbrich,Felix,\N,1997,Zivildienstleistender,6067,Absam,7,7B
NEOS,254,Österreicher,Markus,Ing.,1977,Unternehmer,1050,Wien,9,9A
NEOS,255,Öztürk,Yavuzhan,MMag.,1976,Angestellter,6060,Hall in Tirol,\N,7B
NEOS,256,Pallhuber,Patrick,Mag.,1985,Angestellter,6020,Innsbruck,\N,7A
NEOS,257,Palme,Johannes,\N,1947,Künstler,2640,Gloggnitz,3,3E
NEOS,258,Pandis,Johannes,\N,1977,Softwareentwickler,8042,Graz,6,6A
NEOS,259,Paulsen,Christof,Mag.,1985,Rechtsanwaltsanwärter,9201,Krumpendorf,2,2A
NEOS,260,Peikoff,Peter,Dr.,1956,Unternehmer,2485,Wimpassing,1,1A
NEOS,261,Persch,Mario,\N,1982,Unternehmer,8020,Graz,6,6A
NEOS,262,Pfahnl,Paul Leopold,\N,1998,Student,4020,Linz,4,4E
NEOS,263,Pflügl,Markus,\N,1972,Unternehmer,3143,Pyhra,3,3D
NEOS,264,Pinzer,Bernd Simon,\N,1968,Öffentlich Bediensteter,3435,Zwentendorf,3,3D
