Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
FPÖ,158,Terzer,Peter,Mag.,1967,Altenfachbetreuer,3170,Hainfeld,3,\N
FPÖ,159,Hautzinger,Christian,\N,1978,Polizeibeamter,7132,Frauenkirchen,\N,\N
FPÖ,160,Kain,Diana,\N,1993,Buchhalterin,4822,Bad Goisern,4,4D
FPÖ,161,Meißl,Arnd,\N,1968,Beamter,8680,Mürzzuschlag,6,6D
FPÖ,162,Haidinger,Manfred,\N,1963,Beamter,7131,Halbturn,\N,1A
FPÖ,163,Huber,Martin,Ing.,1970,Landtagsabgeordneter,3372,Blindenmarkt,3,3C
FPÖ,164,Kowarik,Dietbert,Mag.,1974,Notariatskandidat,1130,Wien,9,9E
FPÖ,165,Hüttenmeyer,Markus,\N,1994,Elektroinstallationstechniker,5090,Lofer,5,5C
FPÖ,166,Gregoire,Deborah,\N,1988,Studentin,6020,Innsbruck,\N,7A
FPÖ,167,Jury,Josef,\N,1962,Bäckermeister,9853,Gmünd,2,2C
FPÖ,168,Mayer,Christian Rudolf,\N,1963,Beamter,7093,Jois,\N,\N
FPÖ,169,Zöttl,Helmut,Dr.,1971,Werkzeugmaschineur,4400,Steyr,4,4D
FPÖ,170,Hermann,Stefan,"Mag., MBL",1985,Landesbediensteter,8073,Feldkirchen,6,6A
FPÖ,171,Guttmann,Karin,\N,1963,Frisörin,7022,Schattendorf,\N,1A
FPÖ,172,Koppensteiner,Robert Peter,\N,1967,Versicherungsfachmann,2011,Senning,3,\N
FPÖ,173,Nittmann,Ulrike,Mag.,1969,Rechtsanwältin,1170,Wien,9,9F
FPÖ,174,Fiebiger,Manfred,Dr.,1969,Arzt,5020,Salzburg,5,5A
FPÖ,175,Kunst,Andreas,\N,1963,Unteroffizier,6020,Innsbruck,\N,7A
FPÖ,176,Suzan,Gerald,\N,1969,Sicherheitswachebeamter,2232,Deutsch Wagram,\N,\N
FPÖ,177,Obermaier,Leopold,\N,1973,Landwirt,3170,Hainfeld,\N,\N
FPÖ,178,Waller,Andreas,\N,1959,Beamter,2491,Neufeld,\N,\N
FPÖ,179,Cicona,Robert,\N,1966,Konstrukteur,4553,Schlierbach,4,4D
FPÖ,180,Kober,Herbert,\N,1974,Soldat,8330,Feldbach,6,6B
FPÖ,181,Hoffmann,Stefan,\N,1949,Winzer,7123,Mönchhof,\N,1A
FPÖ,182,Hoffmann,Walter,\N,1957,Arbeiter,3943,Schrems,3,3B
FPÖ,183,Kirchmeyr,Albert,BSc,1983,Angestellter,6130,Schwaz,\N,7B
FPÖ,184,Ball,Christina Theresia,\N,1970,Diplomierte Pädagogin,9620,Hermagor,2,2C
FPÖ,185,Mad,Roland Andreas,\N,1960,Beamter,7081,Schützen am Gebirge,\N,\N
FPÖ,186,Handlos,Peter,\N,1974,Kaufmännischer Angestellter,4284,Tragwein,4,4E
FPÖ,187,Friedrich,Karl,Dipl.-Ing.,1992,Wissenschaftlicher Mitarbeiter,8530,Deutschlandsberg,6,6C
FPÖ,188,Jandrisevits,Victoria,\N,1989,Büroangestellte,7544,Tobaj,\N,1B
FPÖ,189,Tauchner,Edmund,\N,1956,Angestellter,2880,Kirchberg,3,\N
FPÖ,190,Wansch,Alfred,Dr.,1960,Landtagsabgeordneter,1220,Wien,9,\N
FPÖ,191,Schiefer,Franz Josef,Ing.,1975,Kaufmännischer Angestellter,5571,Mariapfarr,5,5C
FPÖ,192,Reicht,Peter,\N,1970,Forstfacharbeiter,9181,Feistritz im Rosental,2,\N
FPÖ,193,Panther,Thomas,\N,1975,Polizeibeamter,7081,Schützen am Gebirge,\N,\N
FPÖ,194,Gruber,Corina,\N,1981,Medizinische Angestellte,4971,Aurolzmünster,4,4B
FPÖ,195,Tropper,Juanita Desiree,\N,1992,Parlamentarische Mitarbeiterin,8092,Mettersdorf am Saßbach,6,6B
FPÖ,196,Stampfel,Karin,\N,1958,Beamtin,7122,Gols,\N,1A
FPÖ,197,Bors,Andreas,\N,1989,Angestellter,3442,Langenrohr,3,3D
FPÖ,198,Glatz,Ewald,\N,1962,Kaufmännischer Angestellter,9563,Gnesau,2,2C
FPÖ,199,Gritschacher,Claudia,\N,1977,Bürokauffrau,6971,Hard,8,8A
FPÖ,200,Gollowitsch,Robert,\N,1967,Kriminalbeamter,2700,Wiener Neustadt,\N,\N
